time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	H
1970	1	5.566841994127593	0.8054393093525287	0.00036667953781033925	9.14207796797391e-05	1.429977485315855e-15	7.032081432348087e-16	0.5274953151000503
1980	1	5.565783649301554	0.8053636877636886	0.0003676966794737967	9.167203660910117e-05	1.4661090939156756e-15	7.174845542820233e-16	0.5276309558870894
1990	1	5.564732326383571	0.8052885419736934	0.0003687257156517508	9.192630864745162e-05	1.4966938402863235e-15	7.331078423216143e-16	0.5277665577360532
2000	1	5.563687978595112	0.8052138691490534	0.00036976648404079437	9.218355454899335e-05	1.5225832691494908e-15	7.476344361771741e-16	0.5279021206581207
2010	1	5.562650559470106	0.8051396664708871	0.00037081882496003336	9.244373373418288e-05	1.5444981975500182e-15	7.604098253668843e-16	0.5280376446644649
2020	1	5.561620022852847	0.8050659311348712	0.00037188258130952317	9.270680627916667e-05	1.5630487839433534e-15	7.714001337210943e-16	0.5281731297662581
2030	1	5.560596322895949	0.8049926603512004	0.0003729575985293848	9.297273290538836e-05	1.5787515163113154e-15	7.807680400090604e-16	0.5283085759746672
2040	1	5.559579414058207	0.8049198513445429	0.00037404372455958264	9.324147496936673e-05	1.5920435922916426e-15	7.887216441591619e-16	0.5284439833008591
2050	1	5.558569251102576	0.8048475013539931	0.00037514080980036716	9.351299445264012e-05	1.6032950916948469e-15	7.954629959498708e-16	0.528579351755994
2060	1	5.557565789094126	0.8047756076330285	0.0003762487070733582	9.378725395187533e-05	1.6128192803172786e-15	8.011726537971896e-16	0.5287146813512301
2070	1	5.556568983398009	0.8047041674494628	0.00037736727158326416	9.406421666913746e-05	1.6208813319305779e-15	8.060069618773064e-16	0.5288499720977232
2080	1	5.555578789677409	0.8046331780854024	0.00037849636088022547	9.434384640231925e-05	1.6277057112863623e-15	8.100995520134763e-16	0.5289852240066272
2090	1	5.554595163891581	0.8045626368371984	0.000379635834822771	9.462610753572553e-05	1.6334824236947551e-15	8.135640154219044e-16	0.52912043708909
2100	1	5.553618062293848	0.8044925410153997	0.00038078555554137855	9.49109650308118e-05	1.6383723051784049e-15	8.164966794837792e-16	0.529255611356258
2110	1	5.552647441429598	0.8044228879447086	0.00038194538740263196	9.519838441707331e-05	1.6425115004911987e-15	8.189791477591056e-16	0.5293907468192723
2120	1	5.551683258134376	0.8043536749639296	0.0003831151969739596	9.548833178308323e-05	1.6460152536792314e-15	8.210805197851184e-16	0.529525843489273
2130	1	5.550725469531829	0.8042848994259305	0.00038429485298894156	9.57807737676764e-05	1.6489811167214288e-15	8.228592957447539e-16	0.529660901377397
2140	1	5.549774033031891	0.8042165586975819	0.0003854842263131929	9.60756775512761e-05	1.651491665585177e-15	8.243649981697162e-16	0.5297959204947763
2150	1	5.548828906328804	0.8041486501597236	0.00038668318991079144	9.637301084736308e-05	1.653616799317781e-15	8.256395481537837e-16	0.5299309008525405
2160	1	5.547890047399222	0.8040811712071071	0.00038789161881125795	9.667274189408203e-05	1.6554156861853824e-15	8.267184315692499e-16	0.5300658424618184
2170	1	5.546957414500258	0.8040141192483525	0.0003891093900770695	9.69748394459858e-05	1.6569384110439507e-15	8.276316867176233e-16	0.5302007453337315
